iso,division_numeric_code,Country,region_code,marital_status,year,2.5%,50%,97.5%
SEN,686,Senegal, ,all,1990,0.029919895,0.03754995,0.04773412
SEN,686,Senegal, ,all,1991,0.033015898,0.0403757,0.04943271
SEN,686,Senegal, ,all,1992,0.036711613,0.0430899,0.05114397
SEN,686,Senegal, ,all,1993,0.040217565,0.04609845,0.053463123
SEN,686,Senegal, ,all,1994,0.044111768,0.05067125,0.058107948
SEN,686,Senegal, ,all,1995,0.048497615,0.0556935,0.064492858
SEN,686,Senegal, ,all,1996,0.053984278,0.0605545,0.068963475
SEN,686,Senegal, ,all,1997,0.059523168,0.06572635,0.072879555
SEN,686,Senegal, ,all,1998,0.062094498,0.0680344,0.075022963
SEN,686,Senegal, ,all,1999,0.06423672,0.06973915,0.075745895
SEN,686,Senegal, ,all,2000,0.063359633,0.0705216,0.078663028
SEN,686,Senegal, ,all,2001,0.062460443,0.0715262,0.081808885
SEN,686,Senegal, ,all,2002,0.062728568,0.07239525,0.08362506
SEN,686,Senegal, ,all,2003,0.063775873,0.07354805,0.08534285
SEN,686,Senegal, ,all,2004,0.065990808,0.07483025,0.084116115
SEN,686,Senegal, ,all,2005,0.06830976,0.0757982,0.083952183
SEN,686,Senegal, ,all,2006,0.067808733,0.07792395,0.08745381
SEN,686,Senegal, ,all,2007,0.069030833,0.08025775,0.0918443
SEN,686,Senegal, ,all,2008,0.07156047,0.0820285,0.095540408
SEN,686,Senegal, ,all,2009,0.074475318,0.08450005,0.096462525
SEN,686,Senegal, ,all,2010,0.078693965,0.08800855,0.097637128
SEN,686,Senegal, ,all,2011,0.086782918,0.0939342,0.1010437
SEN,686,Senegal, ,all,2012,0.097949853,0.105625,0.114218025
SEN,686,Senegal, ,all,2013,0.11350505,0.1214005,0.12921735
SEN,686,Senegal, ,all,2014,0.131458475,0.139409,0.147872175
SEN,686,Senegal, ,all,2015,0.1463376,0.1552315,0.1638235
SEN,686,Senegal, ,all,2016,0.16104935,0.1682875,0.176220825
SEN,686,Senegal, ,all,2017,0.17462185,0.181138,0.18839605
SEN,686,Senegal, ,all,2018,0.1741762,0.182998,0.190464225
SEN,686,Senegal, ,all,2019,0.172668825,0.1820435,0.191665075
SEN,686,Senegal, ,all,2020,0.1678155,0.18133,0.19498885
SEN,686,Senegal, ,all,2021,0.166004,0.1804755,0.193846925
SEN,686,Senegal, ,all,2022,0.168048725,0.1797895,0.1925119
SEN,686,Senegal, ,all,2023,0.17074165,0.1799735,0.189893025
SEN,686,Senegal, ,all,2024,0.170937425,0.18488,0.199392325
SEN,686,Senegal, ,all,2025,0.170255775,0.1902955,0.2130723
SEN,686,Senegal, ,all,2026,0.167681375,0.196449,0.2255445
SEN,686,Senegal, ,all,2027,0.1700999,0.2024515,0.234593075
SEN,686,Senegal, ,all,2028,0.16996665,0.20805,0.2441558
SEN,686,Senegal, ,all,2029,0.172453025,0.213192,0.254059575
SEN,686,Senegal, ,all,2030,0.175318625,0.2183405,0.2609853
SEN,686,Senegal, ,all,2031,0.176224725,0.222784,0.2724128
SEN,686,Senegal, ,all,2032,0.178350775,0.227406,0.2818075
SEN,686,Senegal, ,all,2033,0.180010675,0.23217,0.28940345
SEN,686,Senegal, ,all,2034,0.1816332,0.2366695,0.295090325
SEN,686,Senegal, ,all,2035,0.183624025,0.2399945,0.300373925
SEN,686,Senegal, ,all,2036,0.1834295,0.244996,0.30696585
SEN,686,Senegal, ,all,2037,0.1874132,0.2484845,0.310974775
SEN,686,Senegal, ,all,2038,0.1888235,0.2520965,0.316702675
SEN,686,Senegal, ,all,2039,0.18677955,0.256074,0.3216971
SEN,686,Senegal, ,all,2040,0.190162325,0.2589615,0.323378725
